date,isin,issue date,maturity date,coupon,historical close price,,,
2021-01-27,CA135087L690,2020-10-16,2024-04-01,0.250%,99.99,,,
2021-01-28,CA135087L690,2020-10-16,2024-04-01,0.250%,99.93,,,
2021-01-29,CA135087L690,2020-10-16,2024-04-01,0.250%,99.96,,,
2021-01-18,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.27,,,
2021-01-19,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.24,,,
2021-01-20,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.2,,,
2021-01-21,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.04,,,
2021-01-22,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.08,,,
2021-01-25,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.13,,,
2021-01-26,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.1,,,
2021-01-27,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.18,,,
2021-01-28,CA135087VH40,1994-08-02,2025-06-01,9.000%,137.01,,,
2021-01-29,CA135087VH40,1994-08-02,2025-06-01,9.000%,136.98,,,
2021-01-18,CA135087VW17,1996-05-01,2027-06-01,8.000%,146.6,,,
2021-01-19,CA135087VW17,1996-05-01,2027-06-01,8.000%,146.57,,,
2021-01-20,CA135087VW17,1996-05-01,2027-06-01,8.000%,146.46,,,
2021-01-21,CA135087VW17,1996-05-01,2027-06-01,8.000%,146.21,,,
2021-01-22,CA135087VW17,1996-05-01,2027-06-01,8.000%,146.28,,,
2021-01-25,CA135087VW17,1996-05-01,2027-06-01,8.000%,146.48,,,
2021-01-26,CA135087VW17,1996-05-01,2027-06-01,8.000%,147.37,,,
2021-01-27,CA135087VW17,1996-05-01,2027-06-01,8.000%,147.49,,,
2021-01-28,CA135087VW17,1996-05-01,2027-06-01,8.000%,147.3,,,
2021-01-29,CA135087VW17,1996-05-01,2027-06-01,8.000%,147.21,,,
2021-01-18,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.81,,,
2021-01-19,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.83,,,
2021-01-20,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.61,,,
2021-01-21,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.24,,,
2021-01-22,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.39,,,
2021-01-25,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.78,,,
2021-01-26,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.66,,,
2021-01-27,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.86,,,
2021-01-28,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.6,,,
2021-01-29,CA135087WL43,1998-02-02,2029-06-01,5.750%,140.5,,,
